Kecamatan	Pasangan Calon 1	Pasangan Calon 2	Suara Sah 	Suara Tidak Sah 	Jumlah Seluruh Suara Sah Dan Suara Tidak Sah
Ambarawa 	24.710			9.158			33.868			1.219			35.087
Bancak		7.470			4.845			12.315			451			12.766
Bandungan 	19.560			11.345			30.905			1.378			32.283
Banyubiru	16.322			7.465			23.787			1.090			24.877
Bawen 		22.228			9.260			31.488			1.342			32.830
Bergas		26.343			11.693			38.036			1.340			39.376
Bringin		15.105			9.668			24.773			868			25.641
Getasan 	24.768			6.813			31.581			1.316			32.897
Jambu		15.916			7.780			23.696			960			24.656
Kaliwungu	11.024			5.766			16.790			543			17.333
Pabelan 	15.016			8.514			23.530			1.130			24.660
Pringapus	19.137			8.022			27.159			850			28.009
Sumowono	11.019			6.246			17.265			1.215			18.480
Suruh		20.936			14.615			35.551			1.378			36.929
Susukan		15.674			10.117			25.791			1.232			27.023
Tengaran	23.741			14.345			38.086			1.873			39.959
Tuntang 	22.541			12.382			34.923			1.533			36.456
Ungaran Barat	27.898			13.043			40.941			1.454			42.395
Ungaran Timur	24.761			12.786			37.547			1.114			38.661
Jumlah Akhir	364.169			183.863			548.032			22.286			570.318
